rank,molecule,pubchem_cid,wikipedia_views_monthly,bucket,family,is_otc,dual_use,added,handling
326,Cinnamic acid,444539,2917,plant-compound,organic-acid,,,,
327,Butylated hydroxyanisole,24667,2904,food-flavor,phenolic,,,,
328,Eicosapentaenoic acid,446284,2900,nutrient-vitamin,fatty-acid,,,,
329,Palmitoylethanolamide,4671,2896,body-endogenous,fatty-acid,,,,
330,Ubiquinol,6504740,2862,body-endogenous,other,,,,
331,Α-Linolenic acid,5280934,2855,nutrient-vitamin,fatty-acid,,,,
332,Potassium bicarbonate,516893,2831,food-flavor,other,,yes,,
333,Huperzine A,854026,2817,plant-compound,alkaloid,,yes,,
334,Acetylcarnitine,7045767,2800,body-endogenous,other,,,,
335,Zinc sulfate,24424,2774,nutrient-vitamin,other,,yes,,
336,Allyl isothiocyanate,5971,2771,food-flavor,other,,,,
337,Valine,6287,2767,body-endogenous,amino-acid,,,,
338,Amylose,53477771,2764,nutrient-vitamin,sugar,,,,
339,Benzophenone,3102,2727,scent-aroma,ketone,,,,
340,Β-Hydroxy β-methylbutyric acid,69362,2709,nutrient-vitamin,organic-acid,,,,
341,Calcium gluconate,9290,2708,nutrient-vitamin,organic-acid,,yes,,
342,Rutin,5280805,2705,plant-compound,flavonoid,,,,
343,Allantoin,204,2682,body-endogenous,other,,,,
344,Juglone,3806,2681,plant-compound,phenolic,,,,
345,Pyrroloquinoline quinone,1024,2654,nutrient-vitamin,other,,,,
346,Guanosine triphosphate,6830,2648,body-endogenous,nucleobase,,,,
347,Tricalcium phosphate,24456,2613,nutrient-vitamin,other,,,,
348,Carnosine,439224,2611,body-endogenous,peptide,,,,
349,Adenosine diphosphate,6022,2593,body-endogenous,nucleobase,,,,
350,Gallic acid,370,2579,plant-compound,phenolic,,,,
351,Bradykinin,439201,2562,body-endogenous,peptide,,,,
352,Β-Hydroxybutyric acid,441,2554,body-endogenous,organic-acid,,,,
353,Methyl anthranilate,8635,2552,food-flavor,ester,,,,
354,Anethole,7703,2539,food-flavor,phenolic,,,,
355,Tert-Butylhydroquinone,16043,2503,food-flavor,phenolic,,,,
356,Amylopectin,439207,2494,nutrient-vitamin,sugar,,,,
357,Dipotassium phosphate,24450,2470,food-flavor,other,,,,
358,Carvone,7439,2460,scent-aroma,terpenoid,,,,
359,Glycyrrhizin,14982,2448,sweetener,glycoside,,,,
360,Sodium sulfite,24437,2434,food-flavor,other,,,,
361,Valeric acid,7991,2431,scent-aroma,fatty-acid,,,,
362,Nicotinamide riboside,439924,2418,nutrient-vitamin,vitamin,,,,
363,Myrcene,31253,2409,scent-aroma,terpene,,,,
364,Selenocysteine,25076,2396,body-endogenous,amino-acid,,,,
365,Synephrine,7172,2390,plant-compound,alkaloid,,yes,,
366,Magnesium stearate,11177,2386,food-flavor,fatty-acid,,,,
367,Chlorophyll a,12085802,2377,plant-compound,other,,,,
368,Guaiacol,460,2354,scent-aroma,phenolic,,,,
369,Glycerophosphorylcholine,657272,2339,nutrient-vitamin,other,,yes,,
370,Isoamyl alcohol,31260,2330,food-flavor,alcohol,,,,
371,Diosmin,5281613,2326,plant-compound,flavonoid,,yes,,
372,Silibinin,31553,2311,plant-compound,flavonoid,,yes,,
373,Zeaxanthin,5280899,2310,plant-compound,carotenoid,,,,
374,Hydroxymethylfurfural,237332,2305,food-flavor,aldehyde,,,,
375,4-Aminobenzoic acid,978,2298,nutrient-vitamin,other,,yes,,
376,Eucalyptol,2758,2250,scent-aroma,terpenoid,,,,
377,Adenosine monophosphate,6083,2249,body-endogenous,nucleobase,,,,
378,Gingerol,442793,2232,plant-compound,phenolic,,,,
379,Mesembrine,394162,2206,plant-compound,alkaloid,,yes,,
380,Phosphocreatine,587,2199,body-endogenous,other,,,,
381,Cholecystokinin,16129670,2196,body-endogenous,peptide,,,,
382,N-Acetylglucosamine,24139,2191,body-endogenous,sugar,,yes,,
383,Dicalcium phosphate,24441,2176,nutrient-vitamin,other,,,,
384,Caffeic acid,689043,2172,plant-compound,phenolic,,,,
385,Sodium iodide,5238,2160,nutrient-vitamin,other,,yes,,
386,Disodium inosinate,135414245,2151,food-flavor,nucleobase,,,,
387,Potassium citrate,13344,2147,food-flavor,organic-acid,,yes,,
388,Prostaglandin E2,5280360,2147,body-endogenous,fatty-acid,,yes,,
389,Azodicarbonamide,31269,2143,food-flavor,other,,,,
390,9-Methyl-β-carboline,164979,2142,plant-compound,alkaloid,,,,
391,Sorbic acid,643460,2112,food-flavor,organic-acid,,,,
392,Gluconic acid,10690,2095,food-flavor,organic-acid,,,,
393,Ornithine,6262,2093,body-endogenous,amino-acid,,,,
394,Monosodium phosphate,24204,2083,food-flavor,other,,,,
395,Luteolin,5280445,2075,plant-compound,flavonoid,,,,
396,Methylglyoxal,880,2075,body-endogenous,aldehyde,,yes,,
397,Ferulic acid,445858,2072,plant-compound,phenolic,,,,
398,Magnesium L-threonate,71307398,2042,nutrient-vitamin,organic-acid,,,,
399,Indigo carmine,5284351,2029,food-flavor,other,,,,
400,Carvacrol,10364,2014,plant-compound,terpenoid,,,,
401,Natamycin,5284447,1997,food-flavor,other,,yes,,
402,Biliverdin,5280353,1981,body-endogenous,other,,,,
403,Ergosterol,444679,1968,plant-compound,other,,,,
404,Hesperidin,10621,1965,plant-compound,flavonoid,,,yes,
405,Cystine,67678,1959,body-endogenous,amino-acid,,,,
406,Ergothioneine,5351619,1932,nutrient-vitamin,amino-acid,,,,
407,Myristic acid,11005,1928,body-endogenous,fatty-acid,,,,
408,Vasoactive intestinal peptide,16132300,1926,body-endogenous,peptide,,,,
409,Piperonal,8438,1923,scent-aroma,aldehyde,,,,
410,Calcium citrate,13136,1916,nutrient-vitamin,organic-acid,,,,
411,Potassium sodium tartrate,165453,1915,food-flavor,organic-acid,,,,
412,Ponceau 4R,17466,1910,food-flavor,other,,,,
413,Sodium ferrocyanide,26129,1891,food-flavor,other,,yes,,
414,Thyrotropin-releasing hormone,638678,1883,body-endogenous,peptide,,,,
415,2-Nonenal,17166,1878,scent-aroma,aldehyde,,,,
416,Thymoquinone,10281,1876,plant-compound,terpenoid,,,,
417,Calcium acetate,6116,1875,food-flavor,organic-acid,,yes,,
418,Chromium(III) picolinate,151932,1871,nutrient-vitamin,other,,,,
419,Pyrazine,9261,1866,scent-aroma,other,,,,
420,Dihydroxyacetone,670,1836,body-endogenous,sugar,,yes,,
421,Choline chloride,6209,1759,nutrient-vitamin,amine,,,,
422,Glucono-δ-lactone,7027,1745,food-flavor,ester,,,,
423,Estrone,5870,1741,body-endogenous,steroid-hormone,,yes,,
424,Anthranilic acid,227,1714,food-flavor,organic-acid,,,,
425,Mogroside V,24721270,1601,sweetener,sweetener,,,yes,
426,Citral,8843,1594,scent-aroma,aldehyde,,,yes,
427,Pentadecylic acid,13849,1590,body-endogenous,fatty-acid,,,,
428,Salicin,439503,1540,plant-compound,glycoside,,,,
429,Genistein,5280961,1405,plant-compound,flavonoid,,,yes,
430,Agaritine,439516,1368,plant-compound,other,,,,
431,Acemannan,72041,1322,plant-compound,other,,,,
432,Inositol trisphosphate,55310,1283,body-endogenous,other,,,,
